,0
KENTUCKY,0.47825340921246245
NEBRASKA,0.22601512866948378
CONNECTICUT,0.10979956969808516
NEVADA,0.07380986371050834
RHODE ISLAND,0.055655549099642924
OHIO,0.04564500857991591
NORTH DAKOTA,0.006766636788030147
ARIZONA,0.004054834241870866
HAWAII,2.9236866833787234e-16
NORTH CAROLINA,1.816620505670082e-16
ALABAMA,3.457720841556494e-17
NEW MEXICO,2.2505426183268024e-17
TENNESSEE,2.1061028295940307e-17
MAINE,1.864264940122952e-17
PENNSYLVANIA,1.3209060767936653e-17
IOWA,1.1113945214150704e-17
COLORADO,1.0358692319582554e-17
OREGON,1.0215369873925385e-17
VERMONT,9.828854542865716e-18
MASSACHUSETTS,9.585374111429378e-18
NEW YORK,6.933356884579361e-18
LOUISIANA,4.527898329399142e-18
MARYLAND,3.559251798304042e-18
DISTRICT OF COLUMBIA,2.835661138733064e-18
NEW HAMPSHIRE,6.178862306843744e-19
UTAH,5.613800417781724e-19
CALIFORNIA,0.0
ALASKA,0.0
DELAWARE,0.0
INDIANA,0.0
ILLINOIS,0.0
IDAHO,0.0
NEW JERSEY,0.0
KANSAS,0.0
MONTANA,0.0
MINNESOTA,0.0
MISSISSIPPI,0.0
SOUTH DAKOTA,0.0
OKLAHOMA,0.0
TEXAS,0.0
VIRGINIA,0.0
WASHINGTON,0.0
WEST VIRGINIA,0.0
WISCONSIN,0.0
WYOMING,0.0
