,0
MISSOURI,0.6181299581658961
NEBRASKA,0.46512503463242405
ALABAMA,0.4546831836250578
MAINE,0.417398806490153
SOUTH DAKOTA,0.4041770661577705
HAWAII,0.3993930681997565
OHIO,0.287522699031836
TENNESSEE,0.2828324903010505
KENTUCKY,0.26100892044187796
UTAH,0.24864250895116943
ALASKA,0.2485590452136969
MARYLAND,0.236970824339896
NEW HAMPSHIRE,0.23529989145725738
IOWA,0.2339827602944436
INDIANA,0.22708347531146184
MINNESOTA,0.1992142865978364
WEST VIRGINIA,0.1974001394075926
NEW MEXICO,0.19504490605093203
WISCONSIN,0.18175009553549754
ILLINOIS,0.1770936131266904
IDAHO,0.17096953392141206
TEXAS,0.1658838001521481
PENNSYLVANIA,0.1609471129699851
NORTH DAKOTA,0.16037179812404762
DELAWARE,0.15222521679082401
NEW YORK,0.1499576019179426
NEW JERSEY,0.1474334429561892
NEVADA,0.1291457501523304
WASHINGTON,0.10993090847454033
MONTANA,0.10561978210958223
VERMONT,0.10406106419886763
WYOMING,0.09581799410381922
KANSAS,0.09324396281345258
CONNECTICUT,0.08991882615829458
OKLAHOMA,0.08776590191608538
CALIFORNIA,0.08680565846881313
VIRGINIA,0.08091129652495557
RHODE ISLAND,0.07491590732428079
ARIZONA,0.07330609790869513
NORTH CAROLINA,0.07109972799905837
LOUISIANA,0.06971878997111466
COLORADO,0.048029716162756815
OREGON,0.0015432595417871242
